"Name","architecture","batch_size","dropout","lr","num_epochs","epoch","test_acc","test_acc1","train_acc","train_loss","val_acc","val_loss"
"P4_Net2_0.001_16_40_0","Net2","16","0","0.001","40","40","98.9888888888889","99.09","0.9989523809523808","0.006827207181615882","0.9886666666666668","0.2150237740666577"
"P4_Net3_0.001_64_20_0","Net3","64","0","0.001","20","20","99.05555555555556","98.89","0.9989285714285714","0.0033592199983994825","0.9885555555555556","0.05934838053632426"
"P4_Net1_0.001_64_40_0","Net1","64","0","0.001","40","40","98.56666666666666","98.86","0.9961666666666666","1.465043499226621","0.9864444444444443","1.4746210346830653"
"P4_Net1_0.001_32_40_0.5","Net1","32","0.5","0.001","40","40","98.73333333333332","98.85","0.9789761904761904","1.482017877713833","0.9864444444444443","1.474636119730929"
"P4_Net1_0.001_32_40_0","Net1","32","0","0.001","40","40","98.72222222222224","98.84","0.9946666666666668","1.4663885445060931","0.9862222222222222","1.4748326679493515"
"P4_Net1_0.001_64_40_0.5","Net1","64","0.5","0.001","40","40","98.77777777777776","98.76","0.9820714285714286","1.4792306121988748","0.9857777777777778","1.475180908297816"
"P4_Net1_0.001_16_40_0","Net1","16","0","0.001","40","40","98.56666666666666","98.8","0.9914761904761904","1.469650088264829","0.9845555555555556","1.4765641661774414"
"P4_Net1_0.001_16_40_0.5","Net1","16","0.5","0.001","40","40","97.64444444444445","97.94","0.967452380952381","1.4936452494575865","0.9768888888888888","1.4841215553334508"
"P4_Net3_0.01_32_20_0","Net3","32","0","0.01","20","20","97.71111111111112","97.85","0.9830476190476192","0.08548432532231483","0.9735555555555556","0.26001972669160744"
"P4_Net2_0.01_64_20_0.5","Net2","64","0.5","0.01","20","20","97.25555555555556","97.58","0.9555476190476192","0.18528462388216105","0.9722222222222222","0.15659848766950318"
"P4_Net2_0.01_64_20_0","Net2","64","0","0.01","20","20","97.24444444444444","96.97","0.9825238095238096","0.08821746652850004","0.9683333333333334","0.1876365441592833"
"P4_Net2_0.01_32_20_0","Net2","32","0","0.01","20","20","96.36666666666666","96.72","0.9721190476190475","0.13725344292455668","0.9681111111111113","0.2179376709911428"
"P4_Net2_0.01_32_20_0.5","Net2","32","0.5","0.01","20","20","95.58888888888887","96.14","0.9246428571428572","0.32295332504400537","0.9581111111111112","0.2579698357126451"
"P4_Net2_0.01_16_20_0","Net2","16","0","0.01","20","20","93.53333333333332","94.39","0.9519761904761904","0.24381025397181957","0.9394444444444444","0.3291888587831723"
"P4_Net2_0.01_16_20_0.5","Net2","16","0.5","0.01","20","20","93.96666666666668","94.2","0.9014761904761904","0.4329622623392335","0.9355555555555556","0.33238289984685176"
"P4_Net1_0.01_64_40_0.5","Net1","64","0.5","0.01","40","40","82.52222222222223","83.74","0.6994285714285714","1.7617999484005584","0.8261111111111111","1.635216827088214"
"P4_Net1_0.01_32_40_0.5","Net1","32","0.5","0.01","40","40","78.94444444444444","79.87","0.6759047619047619","1.7852144086079478","0.7923333333333333","1.6689385822478762"
"P4_Net1_0.01_32_40_0","Net1","32","0","0.01","40","40","66.24444444444444","67.18","0.664952380952381","1.7961847487970426","0.6565555555555556","1.80368154945103"
"P4_Net1_0.01_16_40_0.5","Net1","16","0.5","0.01","40","40","65.97777777777777","67.65","0.5547142857142857","1.90642872887566","0.6547777777777778","1.8062932681867965"
"P4_Net1_0.01_64_40_0","Net1","64","0","0.01","40","40","56.82222222222222","56.99","0.5998333333333333","1.8613586594524991","0.5762222222222222","1.885205994261072"
"P4_Net1_0.01_16_40_0","Net1","16","0","0.01","40","40","27.57777777777778","27.5","0.23352380952380952","2.227626019523257","0.2628888888888889","2.198162190232353"
"P4_Net3_0.01_64_20_0","Net3","64","0","0.01","20","20","11.4","11.35","0.11092857142857145","2.3022467418711297","0.109","2.302183895246357"
"P4_Net3_0.01_16_20_0","Net3","16","0","0.01","20","20","11.4","11.35","0.10973809523809525","2.303288845788865","0.109","2.302471007165858"
"P4_Net3_0.01_32_20_0.5","Net3","32","0.5","0.01","20","20","11.4","11.35","0.10964285714285714","2.3028192432981727","0.109","2.3041722047413495"
"P4_Net3_0.01_16_20_0.5","Net3","16","0.5","0.01","20","20","11.4","11.35","0.10854761904761905","2.3032360538301013","0.109","2.304397594018262"
"P4_Net3_0.1_64_20_0.5","Net3","64","0.5","0.1","20","20","11.4","11.35","0.10335714285714286","2.3108388684474535","0.109","2.3072428348216603"
"P4_Net3_0.1_32_20_0.5","Net3","32","0.5","0.1","20","20","10.522222222222222","10.1","0.1005","2.314917817700481","0.106","2.310437947300309"
"P4_Net1_0.1_16_40_0.5","Net1","16","0.5","0.1","40","40","10.066666666666666","10.1","0.10257142857142858","2.358568665186564","0.10311111111111113","2.357909082307697"
"P4_Net2_0.1_32_20_0","Net2","32","0","0.1","20","20","10.1","10.32","0.10695238095238097","2.313866648888279","0.10288888888888888","2.3091397327734224"
"P4_Net3_0.1_64_20_0","Net3","64","0","0.1","20","20","10.1","10.32","0.10057142857142858","2.3102819393396015","0.10288888888888888","2.311946841841894"
"P4_Net1_0.1_64_40_0.5","Net1","64","0.5","0.1","40","40","9.544444444444444","9.74","0.09726190476190476","2.3638568741001493","0.10255555555555557","2.358668614786567"
"P4_Net2_0.1_16_20_0","Net2","16","0","0.1","20","20","9.633333333333333","9.74","0.10242857142857142","2.319730494090489","0.102","2.3138453392957072"
"P4_Net1_0.1_32_40_0","Net1","32","0","0.1","40","40","9.655555555555557","9.82","0.09666666666666666","2.364521029153491","0.10144444444444443","2.3599762367018573"
"P4_Net3_0.01_64_20_0.5","Net3","64","0.5","0.01","20","20","10.677777777777775","10.28","0.11033333333333334","2.302391857498494","0.10133333333333332","2.3022714861741305"
"P4_Net2_0.1_16_20_0.5","Net2","16","0.5","0.1","20","20","10.677777777777775","10.28","0.10166666666666668","2.3200462283179872","0.10133333333333332","2.3082628673600896"
"P4_Net1_0.1_16_40_0","Net1","16","0","0.1","40","40","9.866666666666667","9.58","0.09804761904761904","2.3631030271620976","0.10133333333333332","2.3599073061087625"
"P4_Net3_0.1_32_20_0","Net3","32","0","0.1","20","20","10.344444444444443","10.09","0.10492857142857144","2.313980005392117","0.10022222222222224","2.313156067056859"
"P4_Net3_0.1_16_20_0","Net3","16","0","0.1","20","20","10.344444444444443","10.09","0.10138095238095238","2.3193188007899694","0.10022222222222224","2.3181242963984"
"P4_Net2_0.1_64_20_0","Net2","64","0","0.1","20","20","9.411111111111111","9.82","0.10264285714285716","2.3104702932830996","0.09866666666666668","2.30712173001986"
"P4_Net2_0.1_32_20_0.5","Net2","32","0.5","0.1","20","20","9.411111111111111","9.82","0.10247619047619048","2.314574807451049","0.09866666666666668","2.316746123293613"
"P4_Net3_0.1_16_20_0.5","Net3","16","0.5","0.1","20","20","9.411111111111111","9.82","0.10278571428571429","2.319633595966158","0.09866666666666668","2.3228381522807093"
"P4_Net1_0.1_32_40_0.5","Net1","32","0.5","0.1","40","40","10.088888888888889","9.8","0.09857142857142856","2.362616967537525","0.09577777777777778","2.365295385638027"
"P4_Net1_0.1_64_40_0","Net1","64","0","0.1","40","40","10.088888888888889","9.8","0.09888095238095236","2.3620974215561215","0.09577777777777778","2.36536187652155"
"P4_Net2_0.1_64_20_0.5","Net2","64","0.5","0.1","20","20","10.044444444444444","9.8","0.10264285714285716","2.310362894241124","0.09522222222222222","2.3170180726558605"
